,0,label
603,"[1, 145, 0]",221
604,"[1, 159, 0]",221
605,"[1, 20, 0]",221
606,"[1, 133, 0]",221
607,"[1, 133, 0]",221
608,"[1, 20, 0]",221
609,"[1, 133, 0]",221
610,"[1, 78, 0]",221
611,"[1, 133, 0]",221
612,"[1, 140, 0]",221
613,"[1, 1380, 0]",221
614,"[1, 32, 0]",221
615,"[1, 140, 0]",221
616,"[1, 20, 0]",221
617,"[1, 133, 0]",221
618,"[1, 32, 0]",221
619,"[1, 20, 0]",221
620,"[1, 133, 0]",221
621,"[1, 52, 0]",221
622,"[1, 52, 0]",221
623,"[1, 52, 0]",221
624,"[1, 52, 0]",221
625,"[1, 52, 0]",221
626,"[1, 52, 0]",221
627,"[1, 52, 0]",221
628,"[1, 52, 0]",221
629,"[1, 52, 0]",221
630,"[1, 52, 0]",221
631,"[1, 52, 0]",221
632,"[1, 52, 0]",221
633,"[1, 52, 0]",221
634,"[1, 52, 0]",221
635,"[1, 52, 0]",221
636,"[1, 52, 0]",221
637,"[1, 52, 0]",221
638,"[1, 52, 0]",221
639,"[1, 52, 0]",221
640,"[1, 52, 0]",221
641,"[1, 52, 0]",221
642,"[1, 52, 0]",221
643,"[1, 52, 0]",221
644,"[1, 52, 0]",221
645,"[1, 52, 0]",221
646,"[1, 52, 0]",221
647,"[1, 52, 0]",221
648,"[1, 52, 0]",221
649,"[1, 52, 0]",221
650,"[1, 52, 0]",221
651,"[1, 52, 0]",221
652,"[1, 52, 0]",221
653,"[1, 52, 0]",221
654,"[1, 52, 0]",221
655,"[1, 52, 0]",221
656,"[1, 52, 0]",221
657,"[1, 52, 0]",221
658,"[1, 52, 0]",221
659,"[1, 52, 0]",221
660,"[1, 52, 0]",221
661,"[1, 52, 0]",221
662,"[1, 52, 0]",221
663,"[1, 52, 0]",221
664,"[1, 52, 0]",221
665,"[1, 52, 0]",221
666,"[1, 52, 0]",221
667,"[1, 52, 0]",221
668,"[1, 52, 0]",221
669,"[1, 52, 0]",221
670,"[1, 52, 0]",221
671,"[1, 52, 0]",221
672,"[1, 52, 0]",221
673,"[1, 52, 0]",221
674,"[1, 52, 0]",221
675,"[1, 52, 0]",221
676,"[1, 52, 0]",221
677,"[1, 52, 0]",221
678,"[1, 52, 0]",221
679,"[1, 52, 0]",221
680,"[1, 52, 0]",221
681,"[1, 52, 0]",221
682,"[1, 52, 0]",221
683,"[1, 52, 0]",221
684,"[1, 52, 0]",221
685,"[1, 52, 0]",221
686,"[1, 52, 0]",221
687,"[1, 52, 0]",221
688,"[1, 52, 0]",221
689,"[1, 52, 0]",221
690,"[1, 52, 0]",221
691,"[1, 52, 0]",221
692,"[1, 52, 0]",221
693,"[1, 52, 0]",221
694,"[1, 52, 0]",221
695,"[1, 52, 0]",221
696,"[1, 52, 0]",221
697,"[1, 52, 0]",221
698,"[1, 52, 0]",221
699,"[1, 52, 0]",221
700,"[1, 52, 0]",221
701,"[1, 52, 0]",221
702,"[1, 52, 0]",221
703,"[1, 52, 0]",221
704,"[1, 52, 0]",221
705,"[1, 52, 0]",221
706,"[1, 52, 0]",221
707,"[1, 52, 0]",221
708,"[1, 52, 0]",221
709,"[1, 52, 0]",221
710,"[1, 52, 0]",221
711,"[1, 52, 0]",221
712,"[1, 52, 0]",221
