,0,1,2,3,4,label
225,"[1, 52, 0]","[0, 52, 49]","[1, 40, 49]","[1, 1440, 50]","[1, 479, 50]",211
226,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
227,"[1, 52, 0]","[0, 52, 43]","[1, 40, 43]","[1, 1440, 44]","[1, 479, 44]",211
228,"[1, 52, 0]","[0, 52, 59]","[1, 40, 59]","[1, 1440, 60]","[1, 479, 60]",211
229,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
230,"[1, 52, 0]","[0, 52, 48]","[1, 40, 48]","[1, 1440, 49]","[1, 479, 49]",211
231,"[1, 52, 0]","[0, 52, 63]","[1, 40, 64]","[1, 1440, 65]","[1, 479, 65]",211
232,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 1440, 41]","[1, 479, 41]",211
233,"[1, 52, 0]","[0, 52, 42]","[1, 40, 42]","[1, 1440, 43]","[1, 479, 43]",211
234,"[1, 52, 0]","[0, 52, 114]","[1, 40, 115]","[1, 1440, 116]","[1, 479, 116]",211
235,"[1, 52, 0]","[0, 52, 47]","[1, 40, 47]","[1, 1440, 48]","[1, 479, 48]",211
236,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
237,"[1, 52, 0]","[0, 52, 56]","[1, 40, 56]","[1, 1440, 57]","[1, 479, 57]",211
238,"[1, 52, 0]","[0, 52, 42]","[1, 40, 42]","[1, 1440, 43]","[1, 479, 43]",211
239,"[1, 52, 0]","[0, 52, 60]","[1, 40, 60]","[1, 1440, 61]","[1, 479, 61]",211
240,"[1, 52, 0]","[0, 52, 45]","[1, 40, 45]","[1, 1440, 46]","[1, 479, 46]",211
241,"[1, 52, 0]","[0, 52, 47]","[1, 40, 48]","[1, 1440, 49]","[1, 479, 49]",211
242,"[1, 52, 0]","[0, 52, 47]","[1, 40, 47]","[1, 1440, 48]","[1, 479, 48]",211
243,"[1, 52, 0]","[0, 52, 66]","[1, 40, 66]","[1, 1440, 67]","[1, 479, 67]",211
244,"[1, 52, 0]","[0, 52, 40]","[1, 40, 41]","[1, 1440, 41]","[1, 479, 41]",211
245,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
246,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 1440, 41]","[1, 479, 41]",211
247,"[1, 52, 0]","[0, 52, 59]","[1, 40, 59]","[1, 1440, 60]","[1, 479, 60]",211
248,"[1, 52, 0]","[0, 52, 63]","[1, 40, 63]","[1, 1440, 64]","[1, 479, 64]",211
249,"[1, 52, 0]","[0, 52, 69]","[1, 40, 69]","[1, 1440, 69]","[1, 479, 69]",211
250,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
251,"[1, 52, 0]","[0, 52, 41]","[1, 40, 42]","[1, 1440, 42]","[1, 479, 42]",211
252,"[1, 52, 0]","[0, 52, 64]","[1, 40, 64]","[1, 1440, 65]","[1, 479, 65]",211
253,"[1, 52, 0]","[0, 52, 81]","[1, 40, 81]","[1, 1440, 82]","[1, 479, 82]",211
254,"[1, 52, 0]","[0, 52, 43]","[1, 40, 44]","[1, 1440, 46]","[1, 479, 46]",211
255,"[1, 52, 0]","[0, 52, 66]","[1, 40, 67]","[1, 1440, 68]","[1, 479, 68]",211
256,"[1, 52, 0]","[0, 52, 99]","[1, 40, 99]","[1, 1440, 100]","[1, 479, 100]",211
257,"[1, 52, 0]","[0, 52, 46]","[1, 40, 46]","[1, 1440, 48]","[1, 479, 48]",211
258,"[1, 52, 0]","[0, 52, 55]","[1, 40, 55]","[1, 1440, 56]","[1, 479, 56]",211
259,"[1, 52, 0]","[0, 52, 76]","[1, 40, 76]","[1, 1440, 76]","[1, 479, 76]",211
260,"[1, 52, 0]","[0, 52, 71]","[1, 40, 71]","[1, 1440, 72]","[1, 479, 72]",211
261,"[1, 52, 0]","[0, 52, 59]","[1, 40, 59]","[1, 1440, 60]","[1, 479, 60]",211
262,"[1, 52, 0]","[0, 52, 53]","[1, 40, 54]","[1, 1440, 55]","[1, 479, 55]",211
263,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 1440, 41]","[1, 479, 41]",211
264,"[1, 52, 0]","[0, 52, 54]","[1, 40, 54]","[1, 1440, 55]","[1, 479, 55]",211
265,"[1, 52, 0]","[0, 52, 60]","[1, 40, 61]","[1, 1440, 61]","[1, 479, 61]",211
266,"[1, 52, 0]","[0, 52, 54]","[1, 40, 54]","[1, 1440, 55]","[1, 479, 55]",211
267,"[1, 52, 0]","[0, 52, 58]","[1, 40, 58]","[1, 1440, 60]","[1, 479, 60]",211
268,"[1, 52, 0]","[0, 52, 42]","[1, 40, 42]","[1, 1440, 43]","[1, 550, 43]",211
269,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 1440, 41]","[1, 479, 41]",211
270,"[1, 52, 0]","[0, 52, 55]","[1, 40, 55]","[1, 1440, 57]","[1, 479, 57]",211
271,"[1, 52, 0]","[0, 52, 53]","[1, 40, 53]","[1, 1440, 54]","[1, 479, 54]",211
272,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
273,"[1, 52, 0]","[0, 52, 52]","[1, 40, 52]","[1, 1440, 53]","[1, 479, 53]",211
274,"[1, 52, 0]","[0, 52, 44]","[1, 40, 44]","[1, 1440, 45]","[1, 479, 45]",211
275,"[1, 52, 0]","[0, 52, 42]","[1, 40, 42]","[1, 1440, 43]","[1, 479, 43]",211
276,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 1440, 41]","[1, 479, 41]",211
277,"[1, 52, 0]","[0, 52, 42]","[1, 40, 42]","[1, 1440, 43]","[1, 479, 43]",211
278,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 41]","[1, 479, 41]",211
279,"[1, 52, 0]","[0, 52, 43]","[1, 40, 43]","[1, 1440, 45]","[1, 479, 45]",211
280,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 1440, 41]","[1, 479, 41]",211
281,"[1, 52, 0]","[0, 52, 47]","[1, 40, 47]","[1, 1440, 48]","[1, 479, 48]",211
